,사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
0,2020000000000000.0,2017년 1월 2일 05시,월요일,부산광역시 북구 금곡동,중상사고,0,2,5,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,32세,경상,승합,남,61세,경상,35.267726,129.017355
1,2020000000000000.0,2017년 1월 6일 20시,금요일,부산광역시 북구 만덕동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,69세,중상,이륜,남,23세,중상,35.210665999999996,129.029717
2,2020000000000000.0,2017년 1월 21일 00시,토요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,53세,경상,35.234614,129.013809
3,2020000000000000.0,2017년 1월 25일 02시,수요일,부산광역시 북구 구포동,경상사고,0,0,3,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,57세,경상,35.198668,129.00633
4,2020000000000000.0,2017년 1월 29일 20시,일요일,부산광역시 북구 덕천동,경상사고,0,0,2,0,차대차 - 정면충돌,신호위반,포장 - 젖음/습기,흐림,교차로 - 교차로안,승용,남,51세,상해없음,승용,남,47세,경상,35.214426,129.021716
5,2020000000000000.0,2017년 2월 13일 19시,월요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,여,36세,경상,35.202372,128.993186
6,2020000000000000.0,2017년 2월 22일 22시,수요일,부산광역시 북구 화명동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,29세,중상,승합,남,57세,상해없음,35.239302,129.014105
7,2020000000000000.0,2017년 2월 22일 22시,수요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,55세,상해없음,승용,남,49세,경상,35.197871,128.995921
8,2020000000000000.0,2017년 2월 25일 00시,토요일,부산광역시 북구 금곡동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,여,27세,경상,35.257241,129.011993
9,2020000000000000.0,2017년 2월 25일 04시,토요일,부산광역시 북구 화명동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,승용,남,65세,경상,35.240234,129.009188
10,2020000000000000.0,2017년 3월 25일 22시,토요일,부산광역시 북구 덕천동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,60세,상해없음,승용,남,28세,경상,35.212616,129.01048600000001
11,2020000000000000.0,2017년 3월 27일 04시,월요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,21세,기타불명,보행자,남,23세,경상,35.209532,129.012844
12,2020000000000000.0,2017년 4월 3일 02시,월요일,부산광역시 북구 구포동,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,18세,부상신고,35.198251,128.995163
13,2020000000000000.0,2017년 4월 6일 19시,목요일,부산광역시 북구 금곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,62세,경상,35.268117,129.017564
14,2020000000000000.0,2017년 4월 7일 07시,금요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,승용,남,49세,경상,35.205057000000004,129.003728
15,2020000000000000.0,2017년 4월 8일 19시,토요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,남,60세,상해없음,승용,남,28세,경상,35.234496,129.00803200000001
16,2020000000000000.0,2017년 4월 10일 21시,월요일,부산광역시 북구 덕천동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,57세,상해없음,승용,여,27세,경상,35.208422,129.01046499999998
17,2020000000000000.0,2017년 4월 16일 20시,일요일,부산광역시 북구 덕천동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,보행자,여,55세,중상,35.208635,129.012879
18,2020000000000000.0,2017년 5월 4일 17시,목요일,부산광역시 북구 금곡동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,59세,상해없음,승용,남,33세,중상,35.262334,129.014486
19,2020000000000000.0,2017년 5월 7일 00시,일요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,68세,경상,35.21309,129.018646
20,2020000000000000.0,2017년 5월 27일 00시,토요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,남,55세,경상,35.241603999999995,129.01975
21,2020000000000000.0,2017년 7월 10일 23시,월요일,부산광역시 북구 구포동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,29세,경상,35.196695,129.011125
22,2020000000000000.0,2017년 7월 12일 03시,수요일,부산광역시 북구 구포동,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,이륜,남,18세,사망,35.198572,129.008254
23,2020000000000000.0,2017년 7월 12일 23시,수요일,부산광역시 북구 구포동,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,22세,경상,35.207134,129.005352
24,2020000000000000.0,2017년 7월 15일 04시,토요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,승용,여,61세,경상,35.211299,129.010655
25,2020000000000000.0,2017년 7월 16일 19시,일요일,부산광역시 북구 덕천동,중상사고,0,1,2,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,37세,경상,승용,남,54세,경상,35.210503,129.005505
26,2020000000000000.0,2017년 7월 19일 23시,수요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,16세,상해없음,자전거,여,17세,경상,35.235169,129.010925
27,2020000000000000.0,2017년 8월 1일 22시,화요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,27세,경상,35.222783,129.00911000000002
