사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
2.01701E+15,2017년 1월 8일 03시,일요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,61세,상해없음,35.185953,129.082462
2.01701E+15,2017년 1월 10일 23시,화요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,43세,중상,35.184459,129.083567
2.01701E+15,2017년 1월 15일 22시,일요일,부산광역시 연제구 연산동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,53세,경상,35.187705,129.102516
2.01701E+15,2017년 1월 22일 05시,일요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,35세,경상,35.187886,129.107145
2.01701E+15,2017년 1월 23일 23시,월요일,부산광역시 연제구 연산동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,여,49세,중상,35.18796,129.097335
2.01701E+15,2017년 1월 28일 00시,토요일,부산광역시 연제구 거제동,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,승용,남,30세,중상,35.188485,129.074036
2.01702E+15,2017년 2월 9일 22시,목요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,56세,중상,35.189166,129.085634
2.01702E+15,2017년 2월 18일 00시,토요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,이륜,남,49세,중상,35.179993,129.107138
2.01703E+15,2017년 3월 2일 22시,목요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,남,35세,경상,35.18611,129.107969
2.01703E+15,2017년 3월 10일 23시,금요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,이륜,남,17세,경상,35.18971,129.078691
