,소재지전체주소,소재지,x,y
0,부산광역시 중구 남포동6가 108번지 ,부산광역시 중구 남포동6가 108번지 ,129.0258241,35.09807466
1,부산광역시 중구 부평동1가 38-1번지 ,부산광역시 중구 부평동1가 38-1번지 ,129.0268716,35.09928275
2,부산광역시 중구 부평동1가 35-34번지 3층 ,부산광역시 중구 부평동1가 35-34번지 3층 ,129.0266872,35.09980851
3,부산광역시 중구 부평동2가 24-3번지 2층 ,부산광역시 중구 부평동2가 24-3번지 2층 ,129.0259845,35.10012306
4,부산광역시 중구 부평동1가 35-34번지 외 4필지 4층 ,부산광역시 중구 부평동1가 35-34번지 외 4필지 4층 ,129.0266872,35.09980851
5,부산광역시 중구 광복동1가 21번지 ,부산광역시 중구 광복동1가 21번지 ,129.0344984,35.09890623
6,부산광역시 중구 부평동2가 16번지 ,부산광역시 중구 부평동2가 16번지 ,129.0260194,35.10153552
7,부산광역시 중구 부평동1가 36-12번지 ,부산광역시 중구 부평동1가 36-12번지 ,129.0274615,35.09954684
8,부산광역시 중구 부평동2가 33-4번지 (2층) ,부산광역시 중구 부평동2가 33-4번지 ,129.0259079,35.0993313
9,"부산광역시 중구 부평동1가 50-3번지 , 49-4번지 ","부산광역시 중구 부평동1가 50-3번지 , 49-4번지 ",129.0264104,35.09854789
10,"부산광역시 중구 중앙동3가 14-3번지 , 15번지 (지하1층) ","부산광역시 중구 중앙동3가 14-3번지 , 15번지 ",129.0352596,35.10306048
11,부산광역시 중구 동광동5가 3-6번지 ,부산광역시 중구 동광동5가 3-6번지 ,129.0358282,35.10881123
12,부산광역시 중구 부평동1가 37-3번지 ,부산광역시 중구 부평동1가 37-3번지 ,129.0275213,35.09930432
13,부산광역시 중구 중앙동2가 24-4번지 ,부산광역시 중구 중앙동2가 24-4번지 ,129.0355532,35.10181193
14,부산광역시 중구 부평동1가 48-1번지 외 9필지 3층 ,부산광역시 중구 부평동1가 48-1번지 외 9필지 3층 ,129.0271383,35.09871595
15,부산광역시 중구 부평동1가 37-3번지 (2층) ,부산광역시 중구 부평동1가 37-3번지 ,129.0275213,35.09930432
16,부산광역시 중구 중앙동3가 10-1번지 3층 ,부산광역시 중구 중앙동3가 10-1번지 3층 ,129.0354523,35.10339969
17,부산광역시 중구 남포동5가 79-1번지 밀양빌딩 4층 ,부산광역시 중구 남포동5가 79-1번지 밀양빌딩 4층 ,129.0296465,35.09745198
18,부산광역시 중구 부평동2가 64-1번지 지하1층 ,부산광역시 중구 부평동2가 64-1번지 지하1층 ,129.0253432,35.10044017
19,부산광역시 중구 남포동6가 7-3번지 (2층) ,부산광역시 중구 남포동6가 7-3번지 ,129.0282749,35.09679365
20,부산광역시 중구 부평동2가 39-1번지 ,부산광역시 중구 부평동2가 39-1번지 ,129.0259512,35.0984258
21,부산광역시 중구 영주동 742-13번지 (동광동5가 12-4) (지하2층) ,부산광역시 중구 영주동 742-13번지 ,129.0351141,35.10902509
22,부산광역시 중구 광복동3가 5-50번지 ,부산광역시 중구 광복동3가 5-50번지 ,129.0314174,35.09970769
23,부산광역시 중구 남포동5가 70번지 ,부산광역시 중구 남포동5가 70번지 ,129.0301965,35.0976987
24,부산광역시 중구 부평동2가 68-1번지 ,부산광역시 중구 부평동2가 68-1번지 ,129.0255831,35.10127246
25,부산광역시 중구 중앙동2가 46-2번지 (지하1층) ,부산광역시 중구 중앙동2가 46-2번지 ,129.0358295,35.10269404
26,부산광역시 중구 동광동2가 10-5번지 11-12.51 (4층) ,부산광역시 중구 동광동2가 10-5번지 11-12.51 ,129.0346055,35.09968305
27,부산광역시 중구 부평동2가 56-3번지 (2층) ,부산광역시 중구 부평동2가 56-3번지 ,129.0256183,35.09985882
28,부산광역시 중구 부평동1가 37-1번지 (3층) ,부산광역시 중구 부평동1가 37-1번지 ,129.0276754,35.09932698
29,"부산광역시 중구 부평동2가 45-4번지 , 45-6번지(지하1층) ","부산광역시 중구 부평동2가 45-4번지 , 45-6번지",129.0255445,35.09829562
30,부산광역시 중구 부평동2가 45-4번지 (지하1층) ,부산광역시 중구 부평동2가 45-4번지 ,129.0255445,35.09829562
31,부산광역시 중구 부평동2가 36-1번지 (3층) ,부산광역시 중구 부평동2가 36-1번지 ,129.026234,35.09886445
32,부산광역시 중구 부평동2가 22-2번지 (2층) ,부산광역시 중구 부평동2가 22-2번지 ,129.0263194,35.10053921
33,부산광역시 중구 남포동6가 81-1번지 외 6필지 (3층) ,부산광역시 중구 남포동6가 81-1번지 외 6필지 ,129.0277679,35.09810343
34,부산광역시 중구 부평동1가 35-69번지 2층 ,부산광역시 중구 부평동1가 35-69번지 2층 ,129.0265078,35.09982233
35,부산광역시 중구 동광동1가 11-2번지 (2층) ,부산광역시 중구 동광동1가 11-2번지 ,129.0354243,35.09892313
36,부산광역시 중구 중앙동4가 81-19번지 (2층) ,부산광역시 중구 중앙동4가 81-19번지 ,129.0375007,35.10780625
37,부산광역시 중구 부평동3가 58-1번지 (2층) ,부산광역시 중구 부평동3가 58-1번지 ,129.0243526,35.10046754
38,부산광역시 중구 남포동6가 81-1번지 외 6필지 (지하1층) ,부산광역시 중구 남포동6가 81-1번지 외 6필지 ,129.0277679,35.09810343
39,부산광역시 중구 동광동3가 15-5번지 ,부산광역시 중구 동광동3가 15-5번지 ,129.0346909,35.10135419
40,부산광역시 중구 남포동6가 65-1번지 (5층) ,부산광역시 중구 남포동6가 65-1번지 ,129.026299,35.09776753
41,부산광역시 중구 부평동1가 35-3번지 (지하1층) ,부산광역시 중구 부평동1가 35-3번지 ,129.0266423,35.09958577
42,부산광역시 중구 남포동6가 34번지 (2층) ,부산광역시 중구 남포동6가 34번지 ,129.0272499,35.09684685
43,부산광역시 중구 부평동2가 52-1번지 (4층) ,부산광역시 중구 부평동2가 52-1번지 ,129.0252377,35.09936774
44,부산광역시 중구 부평동2가 62-1번지 (2층) ,부산광역시 중구 부평동2가 62-1번지 ,129.0256623,35.10039879
45,부산광역시 중구 부평동2가 52-1번지 (지하1층) ,부산광역시 중구 부평동2가 52-1번지 ,129.0252377,35.09936774
46,부산광역시 중구 부평동2가 52-1번지 (5층) ,부산광역시 중구 부평동2가 52-1번지 ,129.0252377,35.09936774
47,"부산광역시 중구 부평동1가 37-8번지 , 37-24 (2층) ","부산광역시 중구 부평동1가 37-8번지 , 37-24 ",129.0271883,35.0993171
48,"부산광역시 중구 남포동5가 50-1번지 , 51-7번지 (2층) ","부산광역시 중구 남포동5가 50-1번지 , 51-7번지 ",129.0292144,35.09771515
49,부산광역시 중구 부평동2가 48-1번지 (2층) ,부산광역시 중구 부평동2가 48-1번지 ,129.0255808,35.09887537
50,부산광역시 중구 부평동2가 47번지 (1층) ,부산광역시 중구 부평동2가 47번지 ,129.0254801,35.09888426
51,부산광역시 중구 부평동2가 37-7번지 (2층) ,부산광역시 중구 부평동2가 37-7번지 ,129.0257906,35.09867
52,"부산광역시 중구 남포동6가 26-2번지 , 116-3번지 (2층) ","부산광역시 중구 남포동6가 26-2번지 , 116-3번지 ",129.0266317,35.09632369
53,부산광역시 중구 부평동1가 35-3번지 (3층) ,부산광역시 중구 부평동1가 35-3번지 ,129.0266423,35.09958577
54,부산광역시 중구 부평동4가 25-1번지 ,부산광역시 중구 부평동4가 25-1번지 ,129.0236455,35.10096238
55,부산광역시 중구 남포동5가 90번지 (3층) ,부산광역시 중구 남포동5가 90번지 ,129.0284934,35.09729105
56,부산광역시 중구 남포동5가 68-3번지 3층 ,부산광역시 중구 남포동5가 68-3번지 3층 ,129.0303998,35.09758715
57,부산광역시 중구 부평동2가 65-8번지 지하1 ,부산광역시 중구 부평동2가 65-8번지 지하1 ,129.0256406,35.100583
58,부산광역시 중구 부평동1가 38-1번지 ,부산광역시 중구 부평동1가 38-1번지 ,129.0268716,35.09928275
59,부산광역시 중구 중앙동4가 78-4번지 (지하1층) ,부산광역시 중구 중앙동4가 78-4번지 ,129.0383483,35.11013504
60,부산광역시 중구 부평동2가 28-3번지 (지하1층) ,부산광역시 중구 부평동2가 28-3번지 ,129.0259061,35.0996161
