업소명,소재지(도로명),소재지(지번),소재지전화
미니스톱 연산시티점,부산광역시 연제구 중앙대로1043번길 11 (연산동),부산광역시 연제구 연산동 1359번지 2호  , 051- 866-4094
컴포즈교대점,부산광역시 연제구 교대로 18 (거제동),부산광역시 연제구 거제동 89번지 41호  ,
언양진미식당,부산광역시 연제구 교대로 11 (거제동),부산광역시 연제구 거제동 79번지 31호  , 051- 504-7226
할매순대국,부산광역시 연제구 고분로 12-1 (연산동),부산광역시 연제구 연산동 731번지 1호  ,051 -866 -9008
용문식당,부산광역시 연제구 거제천로 207-1 (거제동),부산광역시 연제구 거제동 1번지 76호  , 051- 864-6005
용문각,부산광역시 연제구 거제천로 209 (거제동),부산광역시 연제구 거제동 1번지 75호  ,051 -864 -6005
노랑통닭,부산광역시 연제구 월드컵대로114번길 4 (연산동),부산광역시 연제구 연산동 676번지 50호  , 051- 865-1252
처갓집양념치킨(연제점),부산광역시 연제구 거제천로 183 (거제동),부산광역시 연제구 거제동 2번지 74호  , 051- 866-9050
옥천해물칼국수,부산광역시 연제구 과정로344번길 47 (연산동),부산광역시 연제구 연산동 305번지 14호  , 051- 853-3294
오륜대 향어,부산광역시 연제구 중앙대로1120번길 13 (연산동),부산광역시 연제구 연산동 675번지 16호  ,
연산식당,부산광역시 연제구 과정로265번가길 5 (연산동),부산광역시 연제구 연산동 1051번지 5호  , 051- 866-5258
썬,부산광역시 연제구 중앙대로1120번길 14-5 (연산동),부산광역시 연제구 연산동 723번지 12호  ,051 -864 -0660
반갑다 친구야,부산광역시 연제구 거제천로230번길 96 (연산동),부산광역시 연제구 연산동 723번지 1호  ,051 -853 -7177
고성횟집,부산광역시 연제구 중앙대로 1116-9 (연산동),부산광역시 연제구 연산동 724번지 6호  , 051- 861-7666
먹거리 장터,부산광역시 연제구 중앙대로 1116-11 (연산동),부산광역시 연제구 연산동 724번지 7호  ,051 -867 -4789
24시콩나물해장국,부산광역시 연제구 중앙대로 1116-11 (연산동),부산광역시 연제구 연산동 724번지 7호  , 051- 852-5453
참나무숯불갈비,부산광역시 연제구 중앙대로1133번길 13 (연산동),부산광역시 연제구 연산동 1124번지 2호  , 051- 852-2014
송현추어탕,부산광역시 연제구 안연로8번길 55 (연산동),부산광역시 연제구 연산동 397번지 27호  ,051 -753 -2309
초량불백,부산광역시 연제구 세병로 13 (연산동),부산광역시 연제구 연산동 585번지 8호  , 051- 865-3068
산청한방오리,부산광역시 연제구 고분로13번길 5-8 (연산동),부산광역시 연제구 연산동 603번지 37호  , 051- 853-2252
아리랑반점,부산광역시 연제구 거제천로 287 (거제동),부산광역시 연제구 거제동 1463번지 62호  , 051- 865-5005
내고향 싸리골,부산광역시 연제구 월드컵대로111번길 4 (연산동),부산광역시 연제구 연산동 709번지 5호  ,
알뜰실비식당,부산광역시 연제구 연수로 100 (연산동),부산광역시 연제구 연산동 844번지 1호  , 051- 863-7502
한독원,부산광역시 연제구 봉수로 15 (연산동),부산광역시 연제구 연산동 1873번지 30호  , 051- 868-7674
배산정,부산광역시 연제구 금련로 6 (연산동),부산광역시 연제구 연산동 1811번지 214호  , 051- 853-1977
초원복국,부산광역시 연제구 반송로 22 (연산동),부산광역시 연제구 연산동 603번지 6호  , 051- 851-0003
